Eksperyment,H,p,Wniosek
0,15.407154742096493,0.0004512101461276353,istotne
1,2.2475462077756445,0.3250510266537906,brak istotności
2,22.766103710751654,1.1386844554390885e-05,istotne
3,7.727435028248576,0.020989824335956267,istotne
4,8.013921747042758,0.018188588745958162,istotne
