0,GEN,0,1,800,122,21,2,4462
0,GEN,0,1,800,110,30,2,4462
0,GEN,0,1,810,120,25,3,4462
0,ACO,0,1,1118,288,224,6,6969
0,PSO,0,0,0,0,0,0,5704
0,GEN,1,1,800,122,21,2,4460
0,GEN,1,1,800,102,30,2,4460
0,GEN,1,1,800,122,21,2,4460
0,GEN,1,1,810,112,17,2,4460
0,ACO,1,0,0,0,0,0,7762
0,PSO,1,0,0,0,0,0,5896
0,GEN,2,1,800,122,21,2,4367
0,ACO,2,0,0,0,0,0,7763
0,PSO,2,0,0,0,0,0,5808
0,GEN,3,1,800,122,21,2,4432
0,GEN,3,1,800,102,29,2,4432
0,GEN,3,1,800,122,21,2,4432
0,GEN,3,1,810,112,17,2,4432
0,ACO,3,0,0,0,0,0,7695
0,PSO,3,0,0,0,0,0,6058
0,GEN,4,1,800,122,21,2,4285
0,GEN,4,1,800,110,26,2,4285
0,GEN,4,1,800,110,19,3,4285
0,GEN,4,1,800,110,18,4,4285
0,ACO,4,0,0,0,0,0,8023
0,PSO,4,1,927,249,176,5,6258
0,PSO,4,1,927,237,158,6,6258
0,GEN,5,1,800,122,21,2,4349
0,ACO,5,1,969,271,180,5,7433
0,PSO,5,1,919,209,124,4,4379
0,PSO,5,1,1037,347,278,2,4379
0,PSO,5,1,1037,347,269,3,4379
0,GEN,6,1,800,122,21,2,4326
0,GEN,6,1,800,110,30,2,4326
0,GEN,6,1,810,120,25,3,4326
0,ACO,6,1,919,241,161,5,7787
0,PSO,6,1,979,301,230,4,5423
0,GEN,7,1,969,291,200,3,4359
0,ACO,7,1,810,120,42,4,6640
0,PSO,7,0,0,0,0,0,5749
0,GEN,8,1,810,132,37,2,4754
0,ACO,8,1,1383,705,640,4,7730
0,PSO,8,1,883,145,76,3,4119
0,PSO,8,1,939,229,153,2,4119
0,GEN,9,1,810,132,37,2,4202
0,ACO,9,1,939,261,179,5,7275
0,PSO,9,1,787,97,28,3,4316
0,PSO,9,1,787,97,26,4,4316
0,PSO,9,1,883,193,128,2,4316
1,GEN,0,1,734,69,12,2,4607
1,ACO,0,1,734,69,12,2,5403
1,PSO,0,1,734,69,12,2,3432
1,GEN,1,1,734,69,12,2,4785
1,ACO,1,1,734,69,12,2,5257
1,PSO,1,1,734,69,12,2,3066
1,PSO,1,1,883,66,9,2,3066
1,GEN,2,1,734,69,12,2,4940
1,ACO,2,1,734,69,12,2,5308
1,PSO,2,1,734,69,12,2,3145
1,GEN,3,1,734,69,12,2,5049
1,ACO,3,1,734,69,12,2,4921
1,PSO,3,1,734,69,12,2,3098
1,GEN,4,1,734,69,12,2,4483
1,ACO,4,1,734,69,12,2,5066
1,PSO,4,1,734,69,12,2,3190
1,PSO,4,1,812,68,14,2,3190
1,PSO,4,1,883,66,9,2,3190
1,GEN,5,1,734,69,13,2,4888
1,ACO,5,1,734,69,12,2,5492
1,PSO,5,1,734,69,12,2,2989
1,GEN,6,1,734,69,12,2,5040
1,ACO,6,1,734,69,12,2,5084
1,PSO,6,1,734,69,12,2,3268
1,GEN,7,1,734,69,12,2,4896
1,ACO,7,1,734,69,12,2,5069
1,PSO,7,1,734,69,12,2,3156
1,PSO,7,1,883,66,9,2,3156
1,GEN,8,1,734,69,12,2,4985
1,ACO,8,1,734,69,12,2,5096
1,PSO,8,1,734,69,12,2,3095
1,PSO,8,1,812,68,14,2,3095
1,GEN,9,1,734,69,12,2,4724
1,ACO,9,1,734,69,12,2,5290
1,PSO,9,1,734,69,12,2,3125
2,GEN,0,1,778,96,26,2,4890
2,GEN,0,1,778,96,18,3,4890
2,GEN,0,1,883,81,11,2,4890
2,ACO,0,1,883,216,157,4,8746
