algorytm,srednie_HV,odchylenie_HV,mediana_HV,min_HV,max_HV
GEN,0.9764721861794046,0.5366856533761071,1.2491332679652158,0.0363,1.4641000000000006
ACO,0.47749031947274595,0.5675807411486816,0.0605,0.0,1.2886063070900398
PSO,0.5940028128569647,0.5762889007004842,0.2457597923670122,0.0,1.3193760814826452
