algorytm,sredni_czas_ms,mediana_czasu_ms,odchylenie_czasu_ms,min_czas_ms,max_czas_ms
GEN,5067.02,4935.5,647.532064921916,4202,7030
ACO,7321.76,7712.5,1793.9306468518469,4921,10115
PSO,4488.84,4560.5,1108.4040993008548,2989,6258
