nr_eksperymentu,algorytm,srednie_HV,mediana_HV,odchylenie_HV,min_HV,max_HV,srednia_liczba_rozwiazan_pareto
0,ACO,0.13769994159888124,0.01672960644408276,0.22538590298543648,0.0,0.7169384791594499,0.6
0,GEN,1.281959377247567,1.3860036418304738,0.30430871992205055,0.4252718360640311,1.423832386386348,2.3
0,PSO,0.34039535195422965,0.11051801761397695,0.4764479878476551,0.0,1.3193760814826452,1.1
1,ACO,0.06050000000000009,0.06050000000000008,0.0,0.06050000000000008,0.06050000000000008,1.0
1,GEN,0.058080000000000076,0.06050000000000008,0.0076527119376074895,0.03630000000000004,0.06050000000000008,1.0
1,PSO,0.1026410738255035,0.06050000000000008,0.06350639449827258,0.06050000000000008,0.20557203579418368,1.5
2,ACO,0.025740595702501305,0.0,0.08114926655907717,0.0,0.2566949928085491,0.4
2,GEN,1.2746674177932853,1.2715173526008023,0.10226128815538935,1.073785955211184,1.44135239597943,3.5
2,PSO,0.10975068838184694,0.0,0.27060622846670496,0.0,0.8676776862081258,0.3
3,ACO,1.1184145833333339,1.2422666666666673,0.3927138442056106,0.0012250000000000034,1.2573916666666674,1.3
3,GEN,1.392508333333334,1.4641000000000006,0.09625637765466537,1.2447875000000002,1.4641000000000006,1.6
3,PSO,1.2594083333333337,1.2573916666666674,0.021905318055324877,1.219579166666667,1.2876416666666672,3.1
4,ACO,1.0450964767290132,1.2403727272727278,0.42387162860548083,0.1322874728142672,1.2886063070900398,1.9
4,GEN,0.8751458025228367,0.8016119617224884,0.33527375895306216,0.4727407133536323,1.2321000000000009,1.9
4,PSO,1.1578186167899094,1.2321000000000009,0.24073640802363416,0.4727407133536323,1.2403727272727278,1.3
