stop_id,stop_name,stop_lat,stop_lon,stop_code
100,Targ Rybny 01,54.353580634248,18.657885945142,100
114,Wrzeszcz PKP 03,54.381253546303,18.604424365171,114
115,Wrzeszcz PKP 04,54.381304369344,18.604267394066,115
120,Oliwa 07,54.40925535602,18.56703671594,120
122,Jelitkowo Kapliczna 03,54.421516773069,18.602044852812,122
124,Zaspa SKM 02,54.389296732771,18.594343533292,124
125,Nowy Port Szaniec Zachodni 02,54.3961220882,18.672855896311,125
135,Równa 01,54.324194208898,18.640885875548,135
142,Górki Wschodnie 01,54.350366814685,18.793061113217,142
146,Lipuska 01,54.338634257941,18.510838958824,146
147,Bysewo 05,54.37483465504,18.463652463606,147
150,Matemblewo 01,54.366589648054,18.54885345613,150
171,Pruszcz Gdański Komarowo 01,54.247403363825,18.651059304671,171
173,Stogi Plaża 03,54.372445597971,18.72865604615,173
175,Św. Wojciech 01,54.28478161807,18.638084600181,175
178,Kiełpino Górne 01,54.341981978272,18.498835021333,178
194,Zakoniczyn 01,54.319806011476,18.577349188006,194
205,Siedlce 03,54.348310449541,18.606480227902,205
213,Strzyża PKM 03,54.391121840927,18.578169554319,213
334,Chełm Cienista 03,54.337544558232,18.626244378423,334
390,Łostowice Świętokrzyska 04,54.322625471,18.605988486549,390
1014,Dworzec Główny 05,54.355478149075,18.645911377304,1014
1016,Dworzec Główny 07,54.355269813844,18.6458309466,1016
1017,Dworzec Główny 12,54.355410768586,18.64522262879,1017
1024,Tamka 01,54.359077229923,18.705335781257,1024
1028,Brama Wyżynna 05,54.350662296265,18.646509963532,1028
1036,Chłodna 02,54.343318675497,18.662747151251,1036
1037,Żabi Kruk 04,54.346381990196,18.65152485424,1037
1042,Brama Żuławska 03,54.347508531406,18.668818435153,1042
1045,Dickensa 01,54.357386158921,18.690207655627,1045
1046,Andruszkiewicza 03,54.366537699611,18.69255740129,1046
1048,Wawelska 01,54.330138085316,18.607197784321,1048
1049,Wawelska 02,54.330275661551,18.60688215525,1049
1050,Sucharskiego 03,54.359899840688,18.690497564679,1050
1052,Królowej Bony 01,54.330007453071,18.602883082815,1052
1059,Baza Manipulacyjna 01,54.353819050843,18.757971230367,1059
1063,Łowicka 01,54.355063618561,18.77080078304,1063
1064,Łęczycka 02,54.3559937195,18.763255009557,1064
1069,Sucharskiego - PKP 01,54.376516687304,18.682727410363,1069
1080,Muzeum Westerplatte – Terminal Promowy 02,54.402959708796,18.682484392498,1080
1087,Europejskie Centrum Solidarności 01,54.362913548653,18.65010419137,1087
1089,Siennicka 01,54.357450909271,18.679060364728,1089
1092,Przetoczna 02,54.360646935655,18.672769081262,1092
1099,Brama Żuławska 04,54.347434472646,18.66963819774,1099
1103,Węzeł Elbląska 02,54.348918655111,18.69212928013,1103
1107,Tarcice 02,54.351151388187,18.710702199864,1107
1113,Rejenta 01,54.342348734497,18.605503547853,1113
1114,Zosi 02,54.343513618073,18.611205874125,1114
1122,Ostroroga 01,54.387686206092,18.624227927085,1122
1123,Klonowicza 01,54.386926119123,18.629462676502,1123
1125,Leszczyńskich 03,54.400166926419,18.606172306066,1125
1130,Sobieszewo 01,54.34362509958,18.826256587292,1130
1148,Przystań 01,54.334365973918,18.934192031439,1148
1153,Uzdrowiskowa 02,54.322267963752,18.931661404146,1153
1155,Świbnieńska III 02,54.314938269641,18.93041478173,1155
1156,Przegalińska 01,54.30988014072,18.925349538656,1156
1158,Benzynowa 01,54.340868080065,18.749445147901,1158
1161,Oczyszczalnia 02,54.342073486329,18.757210645995,1161
1167,Zagroble 02,54.346810473753,18.785404136749,1167
1168,Migdałowa 02,54.341930001463,18.583156207954,1168
1172,Nowa Gdańska 02,54.397024932015,18.634210917297,1172
1177,Tęczowa 02,54.348144018494,18.810691707079,1177
1181,Ornitologów 02,54.349255254284,18.797660262022,1181
1186,Olszynka Niwki 01,54.335912731663,18.677258977071,1186
1187,Zawodzie 01,54.339321450193,18.686697751368,1187
1188,Maki 01,54.34510509326,18.674709333539,1188
1193,Wróbla 01,54.34057391137,18.657964168954,1193
1195,Urząd Wojewódzki / Marszałkowski 02,54.342771108895,18.646145526288,1195
1201,Zaroślak 02,54.341788208286,18.642309034131,1201
1202,Brama Oruńska 01,54.339765209451,18.640455531937,1202
1205,Stare Szkoty 02,54.335615179073,18.636031993572,1205
1206,Sandomierska 01,54.332401156719,18.634878157065,1206
1211,Gościnna 02,54.323250798908,18.631281763339,1211
1212,Nowiny 01,54.319240855436,18.630343536826,1212
1216,Ukośna 01,54.31161538581,18.629782518889,1216
1233,Uranowa 01,54.326111061223,18.620397273531,1233
1234,Dom Pomocy Społecznej 01,54.309897959269,18.620180117698,1234
1236,Zaroślak 03,54.34191539441,18.641917098799,1236
1240,Reformacka 01,54.342547105596,18.6305719288,1240
1245,Rondo Kuronia 02,54.341813887023,18.54800517331,1245
1250,Odrzańska 03,54.345149444042,18.625759794042,1250
1255,Chałubińskiego 04,54.342237295735,18.617126729962,1255
1262,Zakopiańska 04,54.34884692844,18.619052485427,1262
