stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
50,,"Sulechowska CRS",,51.955240,15.522170,0,,0,,,0
51,,"Gorzowska",,51.961540,15.527860,0,,0,,,0
52,,"Jastrzębia",,51.963880,15.530470,0,,0,,,0
53,,"Bukowa",,51.966020,15.532560,0,,0,,,0
54,,"Chynów",,51.969300,15.534040,0,,0,,,0
55,,"Bukowa",,51.966090,15.532480,0,,0,,,0
56,,"Jastrzębia",,51.963340,15.529680,0,,0,,,0
57,,"Gorzowska",,51.961430,15.527560,0,,0,,,0
58,,"Sulechowska CRS",,51.954560,15.521570,0,,0,,,0
59,,"Dolina Zielona",,51.949630,15.518260,0,,0,,,0
