Eksperyment,H,p,Wniosek
0,8.97319310807787,0.011258897725084463,istotne
1,1.9999999999999427,0.367879441171453,brak istotności
2,27.274864801316724,1.1949187092123727e-06,istotne
3,8.456874580818248,0.014575149486870453,istotne
4,2.7164556962025443,0.2571160220993956,brak istotności
