algorytm,sredni_czas_ms,mediana_czasu_ms,odchylenie_czasu_ms,min_czas_ms,max_czas_ms
GEN,2414.45,2291.5,398.061904089275,1766,3137
ACO,2819.85,2900.0,297.01735682685324,2268,3371
PSO,1023.75,1022.5,88.63776760587922,787,1203
