Eksperyment,H,p,Wniosek
0,3.520410897722191,0.17200952103241304,brak istotności
1,3.1557284618854275,0.20641548355950595,brak istotności
2,15.179662860250136,0.0005055662700244758,istotne
3,9.661362597165072,0.007981081913459587,istotne
4,0.694134963768121,0.7067576333118251,brak istotności
