nr_eksperymentu,algorytm,srednie_HV,mediana_HV,odchylenie_HV,min_HV,max_HV,srednia_liczba_rozwiazan_pareto
0,ACO,0.7165672366172295,0.8456044150665196,0.5272046082605787,0.01690273343457168,1.4097734693877555,1.7
0,GEN,0.8905487914014456,0.8849683020006036,0.3991964423755581,0.11033815079570856,1.4641000000000006,1.6
0,PSO,1.0644073288428675,0.930360480546899,0.24809069548463342,0.8158814416406959,1.382610204081633,2.3
1,ACO,0.8860304769941033,0.9377484636871511,0.1577301454697411,0.5344439847144633,1.104033952126009,1.6
1,GEN,1.080317012337058,1.1782482541899444,0.40155926890757665,0.47885395716946033,1.4641000000000006,1.5
1,PSO,0.9967297720747986,0.9593182960893857,0.06498963058617892,0.9377484636871511,1.1105702649751712,1.5
2,ACO,0.038155547022252254,0.0,0.1136751961027536,0.0,0.36146235687962436,0.3
2,GEN,0.6279980558134304,0.40631633119531907,0.647982623090896,0.0,1.3753666666666673,1.6
2,PSO,0.006082953132472509,0.0,0.01923598679866908,0.0,0.060829531324725086,0.1
3,ACO,0.22919971449885185,0.22128269767624242,0.24814294366952971,0.0,0.7301297626870863,0.8
3,GEN,0.881538658441397,1.079951865750902,0.5770496575738332,0.003220070684356363,1.4559521470868364,1.7
3,PSO,0.24351075243878112,0.0,0.3720014074927964,0.0,1.008363600297109,0.5
4,ACO,0.7681074741144605,0.9928365609288179,0.6492053512375703,0.0,1.4641000000000006,1.0
4,GEN,1.1639789756501076,1.1423480900341765,0.26702999150449036,0.6359920523637891,1.4247156862745103,1.3
4,PSO,0.7615005301468367,0.8793026507341826,0.6930014461956837,0.0,1.4641000000000006,0.9
