0,GEN,0,1,707,156,24,2,8986
0,ACO,0,1,695,144,17,2,14773
0,PSO,0,1,707,156,27,2,8647
0,PSO,0,1,707,156,18,3,8647
0,PSO,0,1,707,156,17,4,8647
0,GEN,1,1,707,156,24,2,7809
0,ACO,1,1,737,186,64,3,14002
0,ACO,1,1,737,186,44,5,14002
0,ACO,1,1,855,184,61,3,14002
0,PSO,1,1,695,144,17,3,8834
0,PSO,1,1,707,156,27,2,8834
0,GEN,2,1,716,165,52,4,10200
0,GEN,2,1,716,165,52,4,10200
0,GEN,2,1,716,165,43,5,10200
0,GEN,2,1,737,186,64,3,10200
0,ACO,2,1,737,186,64,3,12358
0,ACO,2,1,737,186,54,4,12358
0,PSO,2,1,707,156,27,2,8369
0,PSO,2,1,707,156,26,3,8369
0,PSO,2,1,707,156,23,4,8369
0,GEN,3,1,695,144,15,2,8611
0,ACO,3,1,707,156,26,2,14660
0,ACO,3,1,707,156,23,3,14660
0,PSO,3,1,695,144,18,2,8191
0,GEN,4,1,707,156,24,2,9363
0,GEN,4,1,707,156,22,3,9363
0,GEN,4,1,707,156,18,4,9363
0,ACO,4,1,737,186,64,3,13906
0,ACO,4,1,737,186,37,4,13906
0,PSO,4,1,707,156,27,3,8914
0,PSO,4,1,707,156,23,4,8914
0,PSO,4,1,827,156,26,2,8914
0,GEN,5,1,707,156,24,2,8630
0,ACO,5,1,707,156,26,2,14955
0,ACO,5,1,707,156,25,4,14955
0,PSO,5,1,695,144,18,2,8253
0,GEN,6,1,695,144,15,2,8167
0,ACO,6,1,707,156,26,2,13151
0,ACO,6,1,1246,155,46,5,13151
0,PSO,6,1,707,156,26,2,8222
0,PSO,6,1,707,156,23,4,8222
0,PSO,6,1,707,156,23,4,8222
0,PSO,6,1,707,156,23,4,8222
0,GEN,7,1,707,156,24,2,9474
0,ACO,7,1,707,156,26,2,13848
0,PSO,7,1,707,156,27,2,8586
0,PSO,7,1,707,156,17,4,8586
0,GEN,8,1,707,156,24,2,8735
0,GEN,8,1,707,156,23,3,8735
0,ACO,8,1,695,144,17,2,13842
0,PSO,8,1,707,156,27,2,8686
0,PSO,8,1,707,156,26,3,8686
0,PSO,8,1,707,156,24,4,8686
0,GEN,9,1,716,165,35,2,8243
0,ACO,9,1,707,156,26,2,12696
0,PSO,9,1,695,144,18,2,8067
1,GEN,0,1,621,169,31,3,5690
1,ACO,0,1,621,193,55,5,5378
1,ACO,0,1,636,184,50,3,5378
1,ACO,0,1,636,184,47,4,5378
1,PSO,0,1,621,169,31,3,3886
1,GEN,1,1,606,178,63,3,5852
1,GEN,1,1,621,169,53,3,5852
1,ACO,1,1,621,169,35,3,5828
1,PSO,1,1,621,169,31,3,3977
1,GEN,2,1,561,133,12,3,6873
1,ACO,2,1,621,169,35,3,5627
1,ACO,2,1,621,169,25,4,5627
1,PSO,2,1,621,169,31,3,4072
1,PSO,2,1,1041,160,43,3,4072
1,GEN,3,1,621,193,61,4,5611
