0,GEN,0,541,18,0,0,1663
0,GEN,0,594,12,0,0,1663
0,ACO,0,541,12,0,0,2093
0,PSO,0,541,12,0,0,1085
0,GEN,1,541,18,0,0,1593
0,GEN,1,594,12,0,0,1593
0,ACO,1,541,12,0,0,2105
0,PSO,1,541,12,0,0,1047
0,GEN,2,541,18,0,0,1587
0,GEN,2,594,12,0,0,1587
0,ACO,2,541,12,0,0,2224
0,PSO,2,541,12,0,0,1160
0,GEN,3,541,18,0,0,1637
0,GEN,3,594,12,0,0,1637
0,ACO,3,541,12,0,0,2119
0,PSO,3,541,12,0,0,1292
0,GEN,4,541,20,4,1,1682
0,GEN,4,594,12,0,0,1682
0,ACO,4,541,12,0,0,2189
0,PSO,4,541,12,0,0,1074
0,GEN,5,541,18,0,0,2039
0,GEN,5,594,12,0,0,2039
0,ACO,5,541,12,0,0,2158
0,PSO,5,541,12,0,0,1272
0,GEN,6,541,18,0,0,1813
0,GEN,6,594,12,0,0,1813
0,ACO,6,541,12,0,0,2317
0,PSO,6,541,12,0,0,1160
0,GEN,7,541,12,0,0,1523
0,ACO,7,541,12,0,0,2077
0,PSO,7,680,150,140,2,1412
0,PSO,7,680,101,87,3,1412
0,PSO,7,829,142,124,1,1412
0,PSO,7,959,18,0,0,1412
0,GEN,8,541,20,6,1,1799
0,GEN,8,594,12,0,0,1799
0,ACO,8,541,12,0,0,2091
0,PSO,8,541,12,0,0,1141
0,GEN,9,541,18,0,0,1629
0,GEN,9,594,12,0,0,1629
0,ACO,9,541,12,0,0,2053
0,PSO,9,541,12,0,0,1012
1,GEN,0,1214,26,8,2,1217
1,GEN,0,1230,42,22,1,1217
1,ACO,0,1214,26,8,2,817
1,ACO,0,1230,42,22,1,817
1,PSO,0,1230,42,22,1,825
1,PSO,0,1230,42,16,2,825
1,GEN,1,1214,26,8,2,1297
1,GEN,1,1230,42,22,1,1297
1,ACO,1,1214,26,8,2,868
1,ACO,1,1230,42,22,1,868
1,PSO,1,1230,42,22,1,902
1,PSO,1,1230,42,16,2,902
1,GEN,2,1214,26,8,2,1240
1,GEN,2,1230,42,22,1,1240
1,ACO,2,1214,26,8,2,808
1,ACO,2,1230,42,22,1,808
1,PSO,2,1230,42,22,1,815
1,PSO,2,1230,42,16,2,815
1,GEN,3,1214,26,8,2,1223
1,GEN,3,1230,42,22,1,1223
1,ACO,3,1214,26,8,2,895
1,ACO,3,1230,42,22,1,895
1,PSO,3,1230,42,22,1,949
1,PSO,3,1230,42,15,2,949
1,GEN,4,1214,26,8,2,1316
1,GEN,4,1230,42,22,1,1316
1,ACO,4,1214,26,10,2,784
1,ACO,4,1230,42,22,1,784
1,PSO,4,1230,42,22,1,832
1,PSO,4,1230,42,16,2,832
1,GEN,5,1214,26,8,2,1278
1,GEN,5,1230,42,22,1,1278
1,ACO,5,1214,26,8,2,855
1,ACO,5,1230,42,22,1,855
1,PSO,5,1230,42,22,1,888
1,PSO,5,1230,42,15,2,888
1,GEN,6,1214,26,8,2,1227
1,GEN,6,1230,42,22,1,1227
1,ACO,6,1214,26,10,2,800
1,ACO,6,1230,42,22,1,800
1,PSO,6,1230,42,22,1,887
1,PSO,6,1230,42,15,2,887
1,GEN,7,1214,26,8,2,1264
1,GEN,7,1230,42,22,1,1264
1,ACO,7,1214,26,8,2,1080
1,ACO,7,1230,42,22,1,1080
1,PSO,7,1230,42,22,1,927
1,PSO,7,1230,42,15,2,927
1,GEN,8,1214,26,8,2,1271
1,GEN,8,1230,42,22,1,1271
1,ACO,8,1214,26,8,2,1027
1,ACO,8,1230,42,22,1,1027
1,PSO,8,1230,42,22,1,887
1,PSO,8,1230,42,16,2,887
1,GEN,9,1214,26,8,2,1230
1,GEN,9,1230,42,22,1,1230
1,ACO,9,1214,26,8,2,912
1,ACO,9,1230,42,22,1,912
1,PSO,9,1230,42,22,1,951
1,PSO,9,1230,42,15,2,951
2,GEN,0,979,32,0,0,2406
2,ACO,0,979,32,0,0,4737
2,PSO,0,979,32,0,0,2444
2,GEN,1,979,32,0,0,2657
2,ACO,1,979,32,0,0,4665
2,PSO,1,979,32,0,0,2427
2,GEN,2,979,32,0,0,2523
2,ACO,2,979,32,0,0,4665
2,PSO,2,979,32,0,0,2504
2,GEN,3,979,32,0,0,2775
2,ACO,3,979,32,0,0,4783
2,PSO,3,979,32,0,0,2480
2,GEN,4,979,32,0,0,2656
2,ACO,4,979,32,0,0,4859
2,PSO,4,979,32,0,0,2657
2,GEN,5,979,32,0,0,2698
2,ACO,5,979,32,0,0,4504
2,PSO,5,979,32,0,0,2701
2,GEN,6,979,32,0,0,2576
2,ACO,6,979,32,0,0,5146
2,PSO,6,979,32,0,0,2609
2,GEN,7,979,32,0,0,2849
2,ACO,7,979,32,0,0,4808
2,PSO,7,979,32,0,0,2595
2,GEN,8,979,32,0,0,2817
2,ACO,8,979,32,0,0,4868
2,PSO,8,979,32,0,0,2571
2,GEN,9,979,32,0,0,2953
2,ACO,9,979,32,0,0,5144
2,PSO,9,979,32,0,0,2688
3,GEN,0,551,44,14,2,3082
3,GEN,0,551,44,13,3,3082
3,GEN,0,559,41,5,1,3082
3,GEN,0,559,41,5,1,3082
3,ACO,0,551,44,14,2,3646
3,ACO,0,1505,44,13,1,3646
3,PSO,0,932,395,322,6,2463
3,PSO,0,1117,580,545,3,2463
3,PSO,0,1117,564,529,4,2463
3,PSO,0,1505,44,9,1,2463
3,GEN,1,559,41,5,1,3427
3,GEN,1,559,41,5,1,3427
3,ACO,1,559,52,17,3,3699
3,ACO,1,1565,44,13,1,3699
3,PSO,1,675,122,55,6,2461
3,PSO,1,1101,548,513,3,2461
3,PSO,1,1101,548,513,3,2461
3,PSO,1,1101,548,487,5,2461
3,PSO,1,1445,918,885,2,2461
3,PSO,1,1445,418,360,5,2461
3,PSO,1,1505,74,32,1,2461
3,PSO,1,1685,44,9,1,2461
3,GEN,2,559,41,5,1,3361
3,GEN,2,559,41,5,1,3361
3,ACO,2,559,52,17,3,3644
3,ACO,2,1505,44,13,1,3644
3,PSO,2,619,66,31,3,2539
3,PSO,2,1505,44,13,1,2539
3,PSO,2,1685,44,9,1,2539
3,GEN,3,559,41,5,1,3082
3,GEN,3,559,41,5,1,3082
3,ACO,3,566,59,24,3,3815
3,ACO,3,596,78,48,2,3815
3,ACO,3,1445,44,13,1,3815
3,PSO,3,596,59,24,3,2448
3,PSO,3,1505,998,961,2,2448
3,PSO,3,1625,44,9,1,2448
3,GEN,4,559,41,5,1,3371
3,GEN,4,559,41,5,1,3371
3,ACO,4,559,52,17,3,3948
3,ACO,4,1505,74,43,1,3948
3,ACO,4,1505,65,30,2,3948
3,ACO,4,1565,44,13,1,3948
3,PSO,4,679,161,126,4,2595
3,PSO,4,679,161,88,6,2595
3,PSO,4,1101,583,548,3,2595
3,PSO,4,1101,583,548,3,2595
3,PSO,4,1104,551,516,3,2595
3,PSO,4,1207,213,183,2,2595
3,PSO,4,1685,44,9,1,2595
3,GEN,5,559,41,5,1,3383
3,GEN,5,559,41,5,1,3383
3,GEN,5,559,41,5,1,3383
3,GEN,5,559,41,5,1,3383
3,ACO,5,559,52,17,3,3923
3,ACO,5,1445,938,904,2,3923
3,ACO,5,1565,44,13,1,3923
3,PSO,5,581,63,28,4,2597
3,PSO,5,581,63,28,4,2597
3,PSO,5,679,66,31,3,2597
3,PSO,5,1207,670,640,2,2597
3,PSO,5,1565,44,9,1,2597
3,GEN,6,559,41,5,1,3442
3,GEN,6,559,41,5,1,3442
3,ACO,6,559,52,17,3,3800
3,ACO,6,1445,44,13,1,3800
3,PSO,6,596,59,24,4,2738
3,PSO,6,787,250,220,2,2738
3,PSO,6,1040,193,158,3,2738
3,PSO,6,1227,160,130,2,2738
3,PSO,6,1505,44,9,1,2738
3,GEN,7,559,41,5,1,3279
3,GEN,7,559,41,5,1,3279
3,GEN,7,611,43,3,1,3279
3,ACO,7,551,44,14,2,3678
3,ACO,7,1505,44,13,1,3678
3,PSO,7,1104,536,501,3,2466
3,PSO,7,1104,536,462,7,2466
3,PSO,7,1197,629,599,2,2466
3,PSO,7,1505,44,9,1,2466
3,GEN,8,559,41,5,1,3100
3,GEN,8,559,41,5,1,3100
3,ACO,8,551,44,14,2,3709
3,ACO,8,1445,44,13,1,3709
3,PSO,8,821,73,38,3,2711
3,PSO,8,1207,689,659,2,2711
3,PSO,8,1505,44,9,1,2711
3,GEN,9,551,44,10,2,3277
3,GEN,9,559,41,5,1,3277
3,GEN,9,559,41,5,1,3277
3,GEN,9,559,41,5,1,3277
3,ACO,9,573,55,20,3,3919
3,ACO,9,1505,65,30,2,3919
3,ACO,9,1625,44,13,1,3919
3,PSO,9,1092,574,542,3,2521
3,PSO,9,1092,571,535,4,2521
3,PSO,9,1092,565,507,5,2521
3,PSO,9,1092,565,494,7,2521
3,PSO,9,1227,200,126,6,2521
3,PSO,9,1505,438,380,5,2521
3,PSO,9,1625,44,9,1,2521
4,GEN,0,920,75,19,2,3041
4,ACO,0,920,75,19,2,3993
4,ACO,0,951,82,12,2,3993
4,PSO,0,951,82,12,2,3323
4,GEN,1,951,106,24,2,2960
4,GEN,1,951,106,24,2,2960
4,ACO,1,951,82,12,2,3413
4,PSO,1,951,106,24,2,3376
4,GEN,2,951,82,13,2,2899
4,ACO,2,951,82,11,2,4076
4,PSO,2,951,82,12,2,3459
4,GEN,3,920,75,19,2,2820
4,ACO,3,951,106,36,2,4089
4,ACO,3,951,106,31,4,4089
4,PSO,3,951,82,11,2,3151
4,GEN,4,920,75,19,2,2877
4,ACO,4,951,106,24,3,3747
4,ACO,4,951,106,23,4,3747
4,ACO,4,1040,111,39,2,3747
4,PSO,4,951,82,11,2,3644
4,GEN,5,920,75,19,2,2518
4,ACO,5,920,75,19,2,3523
4,ACO,5,951,82,11,2,3523
4,PSO,5,951,82,12,2,3462
4,GEN,6,920,75,19,2,3168
4,GEN,6,951,82,12,2,3168
4,ACO,6,951,82,12,2,4287
4,PSO,6,951,82,11,2,3742
4,GEN,7,951,106,36,2,3176
4,GEN,7,951,106,35,3,3176
4,GEN,7,951,106,32,4,3176
4,GEN,7,951,106,28,5,3176
4,ACO,7,951,82,11,2,3497
4,PSO,7,951,82,13,2,4331
4,GEN,8,920,75,19,2,3041
4,ACO,8,951,106,35,2,4080
4,ACO,8,951,106,23,4,4080
4,PSO,8,951,82,13,2,3403
4,GEN,9,920,75,19,2,2760
4,GEN,9,951,82,13,2,2760
4,ACO,9,951,106,23,4,3874
4,ACO,9,1070,106,25,3,3874
4,PSO,9,951,82,12,2,3461
5,GEN,0,522,54,5,1,3425
5,GEN,0,537,65,4,1,3425
5,ACO,0,522,54,5,1,3827
5,ACO,0,531,59,4,1,3827
5,ACO,0,1388,41,7,1,3827
5,PSO,0,522,54,3,1,2723
5,PSO,0,915,48,5,1,2723
5,GEN,1,522,54,3,1,3666
5,ACO,1,522,54,3,1,3770
5,ACO,1,1388,41,7,1,3770
5,PSO,1,522,54,3,1,2759
5,PSO,1,1388,41,7,1,2759
5,GEN,2,522,54,3,1,3459
5,ACO,2,522,54,3,1,3890
5,ACO,2,1388,41,7,1,3890
5,PSO,2,522,54,3,1,2729
5,GEN,3,522,54,5,1,3161
5,GEN,3,531,59,4,1,3161
5,ACO,3,522,54,5,1,3813
5,ACO,3,531,59,4,1,3813
5,ACO,3,1388,41,7,1,3813
5,PSO,3,522,54,3,1,2729
5,GEN,4,522,54,5,1,3482
5,ACO,4,522,54,5,1,3768
5,ACO,4,537,65,4,1,3768
5,ACO,4,915,48,5,1,3768
5,PSO,4,522,54,3,1,2841
5,GEN,5,522,54,5,1,3358
5,GEN,5,537,65,4,1,3358
5,ACO,5,522,54,5,1,3961
5,ACO,5,531,59,4,1,3961
5,PSO,5,522,54,3,1,2910
5,GEN,6,522,54,5,1,3247
5,ACO,6,522,54,3,1,3805
5,ACO,6,612,49,5,1,3805
5,PSO,6,522,54,5,1,2750
5,PSO,6,531,59,4,1,2750
5,PSO,6,612,49,3,1,2750
5,PSO,6,1388,41,7,1,2750
5,GEN,7,522,54,5,1,3546
5,GEN,7,537,65,4,1,3546
5,ACO,7,522,54,3,1,3797
5,PSO,7,522,54,3,1,2801
5,GEN,8,522,54,5,1,3316
5,GEN,8,537,65,4,1,3316
5,ACO,8,522,54,3,1,4536
5,ACO,8,1456,51,12,2,4536
5,PSO,8,522,54,3,1,2917
5,PSO,8,1388,41,7,1,2917
5,PSO,8,1388,41,6,2,2917
5,GEN,9,522,54,3,1,3462
5,ACO,9,522,54,3,1,3887
5,ACO,9,1456,51,12,2,3887
5,PSO,9,522,54,3,1,2991
6,GEN,0,1088,79,13,2,3814
6,ACO,0,0,0,0,0,5667
6,PSO,0,0,0,0,0,4718
6,GEN,1,1088,78,10,2,3723
6,ACO,1,0,0,0,0,5809
6,PSO,1,0,0,0,0,5235
6,GEN,2,1088,78,10,2,3899
6,ACO,2,1088,78,10,2,6207
6,PSO,2,0,0,0,0,5295
6,GEN,3,1088,79,12,2,3861
6,ACO,3,1088,78,10,2,6027
6,PSO,3,0,0,0,0,4761
6,GEN,4,1088,78,10,2,3479
6,ACO,4,0,0,0,0,5471
6,PSO,4,0,0,0,0,5052
6,GEN,5,1088,78,10,2,3766
6,ACO,5,0,0,0,0,5550
6,PSO,5,1218,209,143,3,3550
6,PSO,5,1218,198,131,4,3550
6,GEN,6,1088,79,12,2,3833
6,ACO,6,0,0,0,0,5746
6,PSO,6,0,0,0,0,4733
6,GEN,7,1088,78,10,2,3799
